Nome do Repositorio;Data de Criacao;Data de Atualizacao;Linguagem Primaria;Total de Releases;Pull Requests Aceitos;Total de Issues;Issues Fechadas
codecrafters-io/build-your-own-x;2018-05-09T12:03:18Z;2026-03-05T22:30:03Z;Markdown;0;155;888;653
sindresorhus/awesome;2014-07-11T13:42:37Z;2026-03-05T22:29:55Z;N/A;0;694;365;349
freeCodeCamp/freeCodeCamp;2014-12-24T17:49:19Z;2026-03-05T20:52:19Z;TypeScript;0;27772;21154;20978
public-apis/public-apis;2016-03-20T23:49:42Z;2026-03-05T22:30:09Z;Python;0;1872;839;833
EbookFoundation/free-programming-books;2013-10-11T06:50:37Z;2026-03-05T21:25:23Z;Python;0;7328;1263;1227
kamranahmedse/developer-roadmap;2017-03-15T13:45:52Z;2026-03-05T22:29:37Z;TypeScript;1;4073;3085;3054
jwasham/coding-interview-university;2016-06-06T02:34:12Z;2026-03-05T22:30:25Z;N/A;0;415;525;454
donnemartin/system-design-primer;2017-02-26T16:15:28Z;2026-03-05T22:29:58Z;Python;0;203;360;110
vinta/awesome-python;2014-06-27T21:00:06Z;2026-03-05T22:29:05Z;Python;0;641;0;0
awesome-selfhosted/awesome-selfhosted;2015-06-01T02:33:17Z;2026-03-05T22:28:09Z;N/A;1;2395;807;807
996icu/996.ICU;2019-03-26T07:31:14Z;2026-03-05T17:11:31Z;N/A;0;1072;0;0
openclaw/openclaw;2025-11-24T10:16:47Z;2026-03-05T22:29:52Z;TypeScript;59;2738;15358;10011
practical-tutorials/project-based-learning;2017-04-12T05:07:46Z;2026-03-05T22:29:18Z;N/A;0;182;227;82
facebook/react;2013-05-24T16:15:54Z;2026-03-05T21:28:59Z;JavaScript;118;12774;14385;13576
torvalds/linux;2011-09-04T22:48:12Z;2026-03-05T22:22:29Z;C;0;0;0;0
TheAlgorithms/Python;2016-07-16T09:44:01Z;2026-03-05T22:25:46Z;Python;0;3046;1702;1540
vuejs/vue;2013-07-29T03:24:51Z;2026-03-05T20:23:00Z;TypeScript;249;1136;10027;9668
trimstray/the-book-of-secret-knowledge;2018-06-23T10:43:14Z;2026-03-05T22:25:34Z;N/A;0;122;0;0
ossu/computer-science;2014-05-04T00:18:39Z;2026-03-05T21:33:58Z;HTML;0;305;666;654
trekhleb/javascript-algorithms;2018-03-24T07:47:04Z;2026-03-05T22:29:42Z;JavaScript;0;304;371;233
tensorflow/tensorflow;2015-11-07T01:19:20Z;2026-03-05T21:18:14Z;C++;221;42325;41195;40300
ohmyzsh/ohmyzsh;2009-08-28T18:15:37Z;2026-03-05T22:13:43Z;Shell;0;3515;5034;4891
getify/You-Dont-Know-JS;2013-11-16T02:37:24Z;2026-03-05T22:28:36Z;N/A;0;370;949;949
CyC2018/CS-Notes;2018-02-13T14:56:24Z;2026-03-05T16:40:25Z;N/A;0;374;578;449
microsoft/vscode;2015-09-03T20:23:38Z;2026-03-05T22:12:17Z;TypeScript;197;43324;232185;218765
Significant-Gravitas/AutoGPT;2023-03-16T09:21:07Z;2026-03-05T21:56:15Z;Python;94;3970;3738;3505
jackfrued/Python-100-Days;2018-03-01T16:05:52Z;2026-03-05T20:48:47Z;Jupyter Notebook;0;13;711;188
n8n-io/n8n;2019-06-22T09:24:21Z;2026-03-05T22:28:20Z;TypeScript;547;14089;8222;7746
flutter/flutter;2015-03-06T22:54:58Z;2026-03-05T21:57:34Z;Dart;7;46930;112443;100280
twbs/bootstrap;2011-07-29T21:19:00Z;2026-03-05T18:28:43Z;MDX;94;9114;22848;22455
github/gitignore;2010-11-08T20:17:14Z;2026-03-05T21:58:40Z;N/A;0;1727;0;0
massgravel/Microsoft-Activation-Scripts;2020-01-12T23:03:34Z;2026-03-05T22:23:00Z;Batchfile;29;5;908;906
avelino/awesome-go;2014-07-06T13:42:15Z;2026-03-05T22:25:08Z;Go;0;3609;727;713
ollama/ollama;2023-06-26T19:39:32Z;2026-03-05T22:26:04Z;Go;189;3071;9489;7500
AUTOMATIC1111/stable-diffusion-webui;2022-08-22T14:05:26Z;2026-03-05T21:30:01Z;Python;27;1884;7886;5486
jlevy/the-art-of-command-line;2015-05-20T15:11:03Z;2026-03-05T22:30:46Z;N/A;0;317;258;136
huggingface/transformers;2018-10-29T13:56:00Z;2026-03-05T22:21:06Z;Python;244;18736;18664;17588
Snailclimb/JavaGuide;2018-05-07T13:27:00Z;2026-03-05T20:14:31Z;Java;0;1213;1131;1056
DigitalPlatDev/FreeDomain;2024-05-30T13:23:00Z;2026-03-05T21:44:11Z;HTML;0;1;0;0
f/prompts.chat;2022-12-05T13:54:13Z;2026-03-05T22:27:34Z;HTML;0;200;131;128
yt-dlp/yt-dlp;2020-10-26T04:22:55Z;2026-03-05T22:22:54Z;Python;131;3229;11123;9303
airbnb/javascript;2012-11-01T23:13:50Z;2026-03-05T16:58:37Z;JavaScript;0;813;1401;1299
langflow-ai/langflow;2023-02-08T22:28:03Z;2026-03-05T21:30:55Z;Python;285;5792;3160;2819
521xueweihan/HelloGitHub;2016-05-04T06:24:11Z;2026-03-05T21:36:33Z;Python;63;17;2963;2681
ytdl-org/youtube-dl;2010-10-31T14:35:07Z;2026-03-05T21:13:14Z;Python;341;1646;26819;23190
vercel/next.js;2016-10-05T23:32:51Z;2026-03-05T22:15:52Z;JavaScript;1000;26138;24311;22258
yangshun/tech-interview-handbook;2016-07-05T05:00:48Z;2026-03-05T22:04:33Z;TypeScript;0;486;120;76
Genymobile/scrcpy;2017-11-21T18:00:27Z;2026-03-05T22:06:30Z;C;50;123;5959;3285
labuladong/fucking-algorithm;2020-02-19T09:01:23Z;2026-03-05T21:30:00Z;Markdown;0;244;963;962
golang/go;2014-08-19T04:33:40Z;2026-03-05T22:13:41Z;Go;0;1;70410;60968
langgenius/dify;2023-04-12T07:40:24Z;2026-03-05T22:21:32Z;TypeScript;158;9715;16742;16332
microsoft/PowerToys;2019-05-01T17:44:02Z;2026-03-05T22:21:38Z;C#;127;6349;38244;30147
langchain-ai/langchain;2022-10-17T02:58:36Z;2026-03-05T22:13:51Z;Python;1000;16038;9117;8874
x1xhlol/system-prompts-and-models-of-ai-tools;2025-03-05T16:38:29Z;2026-03-05T22:28:17Z;N/A;0;46;189;108
Chalarangelo/30-seconds-of-code;2017-11-29T17:35:03Z;2026-03-05T22:22:39Z;JavaScript;12;836;300;300
open-webui/open-webui;2023-10-06T22:08:27Z;2026-03-05T22:22:02Z;Python;152;3314;7799;7613
facebook/react-native;2015-01-09T18:10:16Z;2026-03-05T22:26:14Z;C++;444;957;27578;26830
krahets/hello-algo;2022-11-04T11:08:34Z;2026-03-05T16:21:16Z;Java;10;968;282;274
kubernetes/kubernetes;2014-06-06T22:56:04Z;2026-03-05T22:12:35Z;Go;784;64004;48628;46783
electron/electron;2013-04-12T01:47:36Z;2026-03-05T22:30:12Z;C++;1000;24551;21477;20739
ripienaar/free-for-dev;2015-03-18T21:06:26Z;2026-03-05T22:27:48Z;HTML;0;2900;0;0
excalidraw/excalidraw;2020-01-02T01:04:43Z;2026-03-05T22:19:36Z;TypeScript;14;3838;4643;2539
anomalyco/opencode;2025-04-30T20:08:00Z;2026-03-05T22:25:44Z;TypeScript;728;2582;9791;5086
justjavac/free-programming-books-zh_CN;2013-11-04T01:59:19Z;2026-03-05T15:53:21Z;N/A;3;282;0;0
nodejs/node;2014-11-26T19:57:11Z;2026-03-05T22:26:12Z;JavaScript;486;11893;20088;18331
d3/d3;2010-09-27T17:22:42Z;2026-03-05T20:47:03Z;Shell;194;494;2239;2229
iptv-org/iptv;2018-11-14T22:00:57Z;2026-03-05T22:14:27Z;TypeScript;0;6821;21741;21436
mrdoob/three.js;2010-03-23T18:58:01Z;2026-03-05T22:14:09Z;JavaScript;175;15235;13507;13065
rust-lang/rust;2010-06-16T20:39:03Z;2026-03-05T21:36:30Z;Rust;147;69550;61600;50469
rustdesk/rustdesk;2020-09-28T15:36:08Z;2026-03-05T22:19:17Z;Rust;36;3946;4000;3939
axios/axios;2014-08-18T22:30:27Z;2026-03-05T21:55:49Z;JavaScript;109;1134;4958;4757
microsoft/TypeScript;2014-06-17T15:28:39Z;2026-03-05T22:15:30Z;TypeScript;214;14857;42958;37982
Hack-with-Github/Awesome-Hacking;2016-03-30T15:47:10Z;2026-03-05T22:22:09Z;N/A;0;34;0;0
shadcn-ui/ui;2023-01-04T12:43:27Z;2026-03-05T21:44:21Z;TypeScript;75;1007;3931;2949
microsoft/generative-ai-for-beginners;2023-06-19T16:28:59Z;2026-03-05T22:23:53Z;Jupyter Notebook;0;521;207;202
godotengine/godot;2014-01-04T16:05:36Z;2026-03-05T22:28:38Z;C++;66;41425;61280;48296
GrowingGit/GitHub-Chinese-Top-Charts;2019-09-05T03:01:56Z;2026-03-05T21:37:42Z;Java;0;0;343;162
denoland/deno;2018-05-15T01:34:26Z;2026-03-05T20:01:37Z;Rust;368;14295;13955;11602
goldbergyoni/nodebestpractices;2017-09-15T08:33:19Z;2026-03-05T18:23:22Z;Dockerfile;0;766;334;286
Comfy-Org/ComfyUI;2023-01-17T03:15:56Z;2026-03-05T22:26:35Z;Python;124;2214;7966;4510
fatedier/frp;2015-12-21T15:24:59Z;2026-03-05T19:58:14Z;Go;109;735;4059;4022
facebook/create-react-app;2016-07-17T14:55:11Z;2026-03-05T16:00:58Z;JavaScript;83;1949;8421;6574
papers-we-love/papers-we-love;2013-12-15T14:31:41Z;2026-03-05T22:30:51Z;Shell;0;439;248;246
tauri-apps/tauri;2019-07-13T09:09:37Z;2026-03-05T22:19:30Z;Rust;0;5400;6169;4912
microsoft/terminal;2017-08-11T18:38:22Z;2026-03-05T22:30:47Z;C++;148;4378;13817;12169
deepseek-ai/DeepSeek-V3;2024-12-26T09:52:40Z;2026-03-05T20:27:32Z;Python;1;25;721;679
clash-verge-rev/clash-verge-rev;2023-11-21T18:24:03Z;2026-03-05T20:51:18Z;TypeScript;62;751;5001;4836
angular/angular;2014-09-18T16:12:01Z;2026-03-05T22:31:24Z;TypeScript;610;5680;30373;29376
Shubhamsaboo/awesome-llm-apps;2024-04-29T05:30:25Z;2026-03-05T22:22:24Z;Python;0;170;119;119
jaywcjlove/awesome-mac;2016-07-17T15:33:47Z;2026-03-05T22:07:53Z;JavaScript;13;1081;513;378
supabase/supabase;2019-10-12T05:56:49Z;2026-03-05T22:25:55Z;TypeScript;26;15580;5240;4973
Anduin2017/HowToCook;2020-02-29T10:43:49Z;2026-03-05T17:52:52Z;Dockerfile;4;614;827;364
mtdvio/every-programmer-should-know;2017-08-24T13:18:26Z;2026-03-05T20:33:21Z;N/A;0;110;45;31
mui/material-ui;2014-08-18T19:11:54Z;2026-03-05T20:06:31Z;JavaScript;558;21490;20348;18753
pytorch/pytorch;2016-08-13T05:26:41Z;2026-03-05T22:30:43Z;Python;64;6428;57142;41041
2dust/v2rayN;2019-07-30T03:47:24Z;2026-03-05T22:19:58Z;C#;300;395;6598;6592
ant-design/ant-design;2015-04-24T15:37:24Z;2026-03-05T22:24:02Z;TypeScript;740;17062;32407;31120
neovim/neovim;2014-01-31T13:39:22Z;2026-03-05T22:29:19Z;Vim Script;48;17730;13750;12106
ggml-org/llama.cpp;2023-03-10T18:58:00Z;2026-03-05T22:23:18Z;C++;1000;7478;7128;6687
google-gemini/gemini-cli;2025-04-17T17:04:31Z;2026-03-05T22:28:02Z;TypeScript;393;5279;10765;8688
fastapi/fastapi;2018-12-08T08:21:47Z;2026-03-05T22:09:54Z;Python;269;3171;3506;3495
nvbn/thefuck;2015-04-08T15:08:04Z;2026-03-05T22:18:00Z;Python;17;481;774;477
openai/whisper;2022-09-16T20:02:54Z;2026-03-05T21:51:01Z;Python;13;119;0;0
microsoft/Web-Dev-For-Beginners;2020-11-10T02:44:00Z;2026-03-05T22:29:44Z;JavaScript;0;654;422;362
ryanmcdermott/clean-code-javascript;2016-11-25T22:25:41Z;2026-03-05T15:39:43Z;JavaScript;0;149;245;165
immich-app/immich;2022-02-03T15:56:27Z;2026-03-05T22:30:59Z;TypeScript;287;8731;8007;7492
